Ultimo;Abertura;Maxima;Minima;Var%
333,35;333,35;333,35;333,35;-0,53%
335,14;335,14;335,14;335,14;-0,12%
335,55;335,55;335,55;335,55;-0,03%
335,65;335,65;335,65;335,65;-0,19%
336,3;336,3;336,3;336,3;0,38%
335,02;335,02;335,02;335,02;0,41%
333,66;333,66;333,66;333,66;-2,24%
341,31;341,31;341,31;341,31;-0,30%
342,35;342,35;342,35;342,35;1,39%
337,66;337,66;337,66;337,66;1,78%
331,75;331,75;331,75;331,75;1,62%
326,46;326,46;326,46;326,46;0,84%
323,73;323,73;323,73;323,73;-1,39%
328,29;328,29;328,29;328,29;2,23%
321,12;321,12;321,12;321,12;-0,90%
324,02;324,02;324,02;324,02;-0,29%
324,97;324,97;324,97;324,97;-1,00%
328,25;328,25;328,25;328,25;0,24%
327,45;327,45;327,45;327,45;3,87%
315,26;315,26;315,26;315,26;-1,39%
319,71;319,71;319,71;319,71;-5,02%
336,61;336,61;336,61;336,61;-0,09%
336,91;336,91;336,91;336,91;-2,26%
344,7;344,7;344,7;344,7;1,33%
340,18;340,18;340,18;340,18;0,15%
339,68;339,68;339,68;339,68;-0,03%
339,79;339,79;339,79;339,79;-1,40%
344,62;344,62;344,62;344,62;0,06%
344,42;344,42;344,42;344,42;-2,08%
351,72;351,72;351,72;351,72;1,29%
347,25;347,25;347,25;347,25;1,18%
343,21;343,21;343,21;343,21;1,60%
337,79;337,79;337,79;337,79;0,07%
337,54;337,54;337,54;337,54;-3,35%
349,23;349,23;349,23;349,23;1,14%
345,28;345,28;345,28;345,28;0,02%
345,21;345,21;345,21;345,21;1,42%
340,37;340,37;340,37;340,37;0,08%
340,09;340,09;340,09;340,09;0,00%
340,09;340,09;340,09;340,09;-3,04%
350,74;350,74;350,74;350,74;-0,48%
352,44;352,44;352,44;352,44;-1,21%
356,76;356,76;356,76;356,76;0,14%
356,26;356,26;356,26;356,26;-0,15%
356,8;356,8;356,8;356,8;-1,37%
361,75;361,75;361,75;361,75;-0,37%
363,11;363,11;363,11;363,11;1,15%
358,97;358,97;358,97;358,97;-1,23%
363,44;363,44;363,44;363,44;-0,95%
366,93;366,93;366,93;366,93;-2,48%
376,26;376,26;376,26;376,26;-0,85%
379,49;379,49;379,49;379,49;1,12%
375,28;375,28;375,28;375,28;-2,21%
383,76;383,76;383,76;383,76;-1,77%
390,69;390,69;390,69;390,69;1,95%
383,21;383,21;383,21;383,21;0,91%
379,76;379,76;379,76;379,76;0,50%
377,86;377,86;377,86;377,86;-0,20%
378,63;378,63;378,63;378,63;0,09%
378,29;378,29;378,29;378,29;2,58%
368,77;368,77;368,77;368,77;0,12%
368,31;368,31;368,31;368,31;2,28%
360,09;360,09;360,09;360,09;-0,52%
361,99;361,99;361,99;361,99;-6,91%
388,88;388,88;388,88;388,88;0,14%
388,34;388,34;388,34;388,34;4,45%
371,78;371,78;371,78;371,78;-4,67%
390,01;390,01;390,01;390,01;3,13%
378,19;378,19;378,19;378,19;5,13%
359,75;359,75;359,75;359,75;3,67%
347,02;347,02;347,02;347,02;1,43%
342,14;342,14;342,14;342,14;-0,22%
342,9;342,9;342,9;342,9;6,35%
322,42;322,42;322,42;322,42;-1,74%
328,14;328,14;328,14;328,14;0,00%
328,14;328,14;328,14;328,14;0,69%
325,88;325,88;325,88;325,88;2,44%
318,13;318,13;318,13;318,13;-7,18%
342,74;342,74;342,74;342,74;7,74%
318,13;318,13;318,13;318,13;-7,29%
343,14;343,14;343,14;343,14;0,12%
342,74;342,74;342,74;342,74;0,12%
342,32;342,32;342,32;342,32;0,02%
342,24;342,24;342,24;342,24;-0,15%
342,74;342,74;342,74;342,74;0,00%
342,74;342,74;342,74;342,74;-0,74%
345,31;345,31;345,31;345,31;0,69%
342,94;342,94;342,94;342,94;-0,19%
343,6;343,6;343,6;343,6;0,47%
341,98;341,98;341,98;341,98;2,29%
334,31;334,31;334,31;334,31;-0,93%
337,45;337,45;337,45;337,45;-1,33%
342;342;342;342;-4,22%
357,08;357,08;357,08;357,08;2,77%
347,44;347,44;347,44;347,44;3,25%
336,5;336,5;336,5;336,5;-0,15%
337,02;337,02;337,02;337,02;1,73%
331,29;331,29;331,29;331,29;1,45%
326,56;326,56;326,56;326,56;0,82%
323,91;323,91;323,91;323,91;-3,22%
334,7;334,7;334,7;334,7;0,64%
332,58;332,58;332,58;332,58;-4,86%
349,58;349,58;349,58;349,58;1,78%
343,46;343,46;343,46;343,46;-3,84%
357,17;357,17;357,17;357,17;1,08%
353,36;353,36;353,36;353,36;-1,36%
358,25;358,25;358,25;358,25;-2,60%
367,83;367,83;367,83;367,83;3,33%
355,97;355,97;355,97;355,97;0,41%
354,5;354,5;354,5;354,5;-1,22%
358,88;358,88;358,88;358,88;-1,59%
364,69;364,69;364,69;364,69;-3,99%
379,83;379,83;379,83;379,83;1,96%
372,52;372,52;372,52;372,52;-1,10%
376,66;376,66;376,66;376,66;0,56%
374,56;374,56;374,56;374,56;-1,43%
380,01;380,01;380,01;380,01;-3,60%
394,2;394,2;394,2;394,2;-3,24%
407,4;407,4;407,4;407,4;0,84%
404;404;404;404;-1,27%
409,21;409,21;409,21;409,21;2,57%
398,95;398,95;398,95;398,95;2,06%
390,89;390,89;390,89;390,89;2,99%
379,54;379,54;379,54;379,54;1,95%
372,27;372,27;372,27;372,27;0,04%
372,11;372,11;372,11;372,11;-3,69%
386,35;386,35;386,35;386,35;1,22%
381,69;381,69;381,69;381,69;0,14%
381,16;381,16;381,16;381,16;1,60%
375,16;375,16;375,16;375,16;0,16%
374,56;374,56;374,56;374,56;-0,34%
375,84;375,84;375,84;375,84;-1,51%
381,6;381,6;381,6;381,6;3,91%
367,25;367,25;367,25;367,25;0,08%
366,95;366,95;366,95;366,95;-1,64%
373,07;373,07;373,07;373,07;1,33%
368,19;368,19;368,19;368,19;1,69%
362,07;362,07;362,07;362,07;4,80%
345,5;345,5;345,5;345,5;-0,09%
345,8;345,8;345,8;345,8;0,14%
345,3;345,3;345,3;345,3;0,17%
344,7;344,7;344,7;344,7;-4,24%
359,96;359,96;359,96;359,96;0,83%
356,99;356,99;356,99;356,99;4,58%
341,34;341,34;341,34;341,34;2,20%
333,99;333,99;333,99;333,99;2,05%
327,27;327,27;327,27;327,27;1,78%
321,56;321,56;321,56;321,56;0,39%
320,31;320,31;320,31;320,31;2,06%
313,83;313,83;313,83;313,83;1,37%
309,6;309,6;309,6;309,6;0,67%
307,53;307,53;307,53;307,53;-0,03%
307,61;307,61;307,61;307,61;0,69%
305,5;305,5;305,5;305,5;0,25%
304,73;304,73;304,73;304,73;-0,65%
306,71;306,71;306,71;306,71;-1,49%
311,36;311,36;311,36;311,36;-3,24%
321,8;321,8;321,8;321,8;-0,61%
323,76;323,76;323,76;323,76;-1,93%
330,12;330,12;330,12;330,12;0,27%
329,22;329,22;329,22;329,22;0,37%
328;328;328;328;2,03%
321,48;321,48;321,48;321,48;-0,55%
323,27;323,27;323,27;323,27;0,21%
322,6;322,6;322,6;322,6;-1,08%
326,13;326,13;326,13;326,13;0,15%
325,63;325,63;325,63;325,63;0,00%
325,63;325,63;325,63;325,63;-0,60%
327,6;327,6;327,6;327,6;3,55%
316,36;316,36;316,36;316,36;4,63%
302,37;302,37;302,37;302,37;0,00%
302,37;302,37;302,37;302,37;-2,40%
309,82;309,82;309,82;309,82;-1,40%
314,22;314,22;314,22;314,22;0,77%
311,81;311,81;311,81;311,81;3,57%
301,05;301,05;301,05;301,05;-1,26%
304,9;304,9;304,9;304,9;-0,61%
306,77;306,77;306,77;306,77;2,15%
300,3;300,3;300,3;300,3;-0,58%
302,04;302,04;302,04;302,04;2,02%
296,05;296,05;296,05;296,05;2,76%
288,11;288,11;288,11;288,11;-1,59%
292,76;292,76;292,76;292,76;-1,90%
298,42;298,42;298,42;298,42;0,72%
296,28;296,28;296,28;296,28;-0,33%
297,26;297,26;297,26;297,26;1,04%
294,21;294,21;294,21;294,21;-0,78%
296,53;296,53;296,53;296,53;-0,75%
298,77;298,77;298,77;298,77;1,88%
293,26;293,26;293,26;293,26;1,16%
289,91;289,91;289,91;289,91;1,13%
286,67;286,67;286,67;286,67;0,53%
285,15;285,15;285,15;285,15;1,55%
280,8;280,8;280,8;280,8;-0,77%
282,97;282,97;282,97;282,97;-0,39%
284,08;284,08;284,08;284,08;0,84%
281,72;281,72;281,72;281,72;0,96%
279,03;279,03;279,03;279,03;-2,45%
286,05;286,05;286,05;286,05;-1,47%
290,31;290,31;290,31;290,31;-0,71%
292,38;292,38;292,38;292,38;-0,77%
294,65;294,65;294,65;294,65;0,80%
292,32;292,32;292,32;292,32;-1,27%
296,08;296,08;296,08;296,08;4,73%
282,7;282,7;282,7;282,7;-0,06%
282,88;282,88;282,88;282,88;-1,87%
288,28;288,28;288,28;288,28;-4,07%
300,5;300,5;300,5;300,5;-1,22%
304,2;304,2;304,2;304,2;0,09%
303,94;303,94;303,94;303,94;2,13%
297,59;297,59;297,59;297,59;-0,05%
297,73;297,73;297,73;297,73;-2,77%
306,2;306,2;306,2;306,2;-1,80%
311,81;311,81;311,81;311,81;2,31%
304,77;304,77;304,77;304,77;2,04%
298,68;298,68;298,68;298,68;-1,65%
303,69;303,69;303,69;303,69;-0,12%
304,07;304,07;304,07;304,07;1,17%
300,56;300,56;300,56;300,56;0,46%
299,18;299,18;299,18;299,18;-1,79%
304,64;304,64;304,64;304,64;-1,50%
309,29;309,29;309,29;309,29;1,35%
305,17;305,17;305,17;305,17;-0,13%
305,57;305,57;305,57;305,57;0,07%
305,35;305,35;305,35;305,35;0,99%
302,36;302,36;302,36;302,36;1,20%
298,77;298,77;298,77;298,77;-1,47%
303,23;303,23;303,23;303,23;-1,71%
308,5;308,5;308,5;308,5;0,11%
308,15;308,15;308,15;308,15;1,56%
303,41;303,41;303,41;303,41;2,74%
295,32;295,32;295,32;295,32;-1,72%
300,49;300,49;300,49;300,49;-0,17%
301;301;301;301;-0,35%
302,07;302,07;302,07;302,07;1,12%
298,73;298,73;298,73;298,73;1,94%
293,05;293,05;293,05;293,05;-1,07%
296,22;296,22;296,22;296,22;-2,81%
304,77;304,77;304,77;304,77;-0,82%
307,3;307,3;307,3;307,3;0,29%
306,41;306,41;306,41;306,41;0,52%
304,82;304,82;304,82;304,82;0,63%
302,9;302,9;302,9;302,9;0,39%
301,73;301,73;301,73;301,73;1,11%
298,41;298,41;298,41;298,41;-2,34%
305,56;305,56;305,56;305,56;1,32%
301,59;301,59;301,59;301,59;-1,30%
305,56;305,56;305,56;305,56;1,42%
301,28;301,28;301,28;301,28;-0,10%
301,59;301,59;301,59;301,59;1,37%
297,5;297,5;297,5;297,5;2,87%
289,2;289,2;289,2;289,2;0,03%
289,12;289,12;289,12;289,12;-1,11%
292,36;292,36;292,36;292,36;0,26%
291,59;291,59;291,59;291,59;0,31%
290,69;290,69;290,69;290,69;-0,03%
290,78;290,78;290,78;290,78;2,58%
283,47;283,47;290,48;283,47;0,68%
281,55;281,55;281,92;281,55;-0,32%
282,45;282,45;282,45;281,67;0,11%
282,13;282,31;282,31;282,13;-0,74%
284,23;284,85;284,85;284,23;-0,27%
285,01;286,26;286,26;285,01;-0,06%
285,19;286,25;286,25;285,19;-0,33%
286,14;289,58;289,58;286,14;-1,19%
289,58;289,88;289,88;289,58;0,10%
289,3;295,74;295,74;289,3;-1,89%
294,86;298,19;298,19;294,86;-0,87%
297,44;302,43;302,43;297,44;-1,96%
303,38;302,24;303,38;302,24;0,75%
301,12;299;301,12;299;1,10%
297,84;297,62;297,84;297,62;-0,26%
298,61;301,56;301,56;298,61;-0,82%
301,09;299,84;301,09;299,84;0,82%
298,65;298,42;298,65;298,42;0,17%
298,13;299,21;299,21;298,13;-0,04%
298,24;292,99;298,24;292,99;2,36%
291,37;299;299;291,37;-1,42%
295,57;309,57;309,57;295,57;-4,36%
309,05;314,69;314,69;309,05;-1,27%
313,02;314,83;314,83;313,02;-0,14%
313,45;323,48;323,48;313,45;-3,21%
323,84;332,12;332,12;323,84;-2,71%
