Data;Ultimo;Var%
01 de dez. de 2022;110.926;-5.13%
01 de nov. de 2022;116.929;6.26%
01 de out. de 2022;110.037;-0.33%
01 de set. de 2022;110.405;-1.33%
01 de ago. de 2022;111.892;8.46%
01 de jul. de 2022;103.165;4.69%
01 de jun. de 2022;98.542;-11.50%
01 de mai. de 2022;111.351;3.22%
01 de abr. de 2022;107.876;-10.10%
01 de mar. de 2022;119.999;6.06%
01 de fev. de 2022;113.142;0.89%
01 de jan. de 2022;112.144;6.99%
01 de dez. de 2021;104.822;2.85%
01 de nov. de 2021;101.916;-1.53%
01 de out. de 2021;103.501;-6.74%
01 de set. de 2021;110.979;-6.57%
01 de ago. de 2021;118.781;-2.48%
01 de jul. de 2021;121.801;-3.94%
01 de jun. de 2021;126.802;0.46%
01 de mai. de 2021;126.216;6.16%
01 de abr. de 2021;118.894;1.94%
01 de mar. de 2021;116.634;6.00%
01 de fev. de 2021;110.035;-4.37%
01 de jan. de 2021;115.068;-3.32%
01 de dez. de 2020;119.017;9.30%
01 de nov. de 2020;108.893;15.90%
01 de out. de 2020;93.952;-0.69%
01 de set. de 2020;94.603;-4.80%
01 de ago. de 2020;99.369;-3.44%
01 de jul. de 2020;102.912;8.26%
01 de jun. de 2020;95.056;8.76%
01 de mai. de 2020;87.403;8.57%
01 de abr. de 2020;80.506;10.25%
01 de mar. de 2020;73.020;-29.90%
01 de fev. de 2020;104.172;-8.43%
01 de jan. de 2020;113.761;-1.63%
01 de dez. de 2019;115.645;6.85%
01 de nov. de 2019;108.233;0.94%
01 de out. de 2019;107.220;2.36%
01 de set. de 2019;104.745;3.57%
01 de ago. de 2019;101.135;-0.66%
01 de jul. de 2019;101.812;0.84%
01 de jun. de 2019;100.967;4.06%
01 de mai. de 2019;97.030;0.70%
01 de abr. de 2019;96.353;0.98%
01 de mar. de 2019;95.415;-0.18%
01 de fev. de 2019;95.584;-1.86%
01 de jan. de 2019;97.394;10.82%
01 de dez. de 2018;87.887;-1.81%
01 de nov. de 2018;89.504;2.38%
01 de out. de 2018;87.424;10.19%
01 de set. de 2018;79.342;3.47%
01 de ago. de 2018;76.678;-3.21%
01 de jul. de 2018;79.220;8.87%
01 de jun. de 2018;72.763;-5.20%
01 de mai. de 2018;76.754;-10.87%
01 de abr. de 2018;86.116;0.88%
01 de mar. de 2018;85.366;0.01%
01 de fev. de 2018;85.354;0.52%
01 de jan. de 2018;84.913;11.14%
01 de dez. de 2017;76.402;6.16%
01 de nov. de 2017;71.971;-3.15%
01 de out. de 2017;74.309;0.02%
01 de set. de 2017;74.294;4.88%
01 de ago. de 2017;70.835;7.46%
01 de jul. de 2017;65.920;4.80%
01 de jun. de 2017;62.900;0.30%
01 de mai. de 2017;62.712;-4.11%
01 de abr. de 2017;65.403;0.64%
01 de mar. de 2017;64.984;-2.52%
01 de fev. de 2017;66.662;3.08%
01 de jan. de 2017;64.671;7.38%
01 de dez. de 2016;60.227;-2.71%
01 de nov. de 2016;61.906;-4.65%
01 de out. de 2016;64.925;11.24%
01 de set. de 2016;58.367;0.80%
01 de ago. de 2016;57.901;1.03%
01 de jul. de 2016;57.308;11.22%
01 de jun. de 2016;51.527;6.30%
01 de mai. de 2016;48.472;-10.09%
01 de abr. de 2016;53.911;7.70%
01 de mar. de 2016;50.055;16.97%
01 de fev. de 2016;42.794;5.91%
01 de jan. de 2016;40.406;-6.79%
01 de dez. de 2015;43.350;-3.92%
01 de nov. de 2015;45.120;-1.63%
01 de out. de 2015;45.869;1.80%
01 de set. de 2015;45.059;-3.36%
01 de ago. de 2015;46.626;-8.33%
01 de jul. de 2015;50.865;-4.17%
01 de jun. de 2015;53.081;0.61%
01 de mai. de 2015;52.761;-6.17%
01 de abr. de 2015;56.229;9.93%
01 de mar. de 2015;51.150;-0.84%
01 de fev. de 2015;51.583;9.97%
01 de jan. de 2015;46.908;-6.20%
01 de dez. de 2014;50.007;-8.62%
01 de nov. de 2014;54.724;0.17%
01 de out. de 2014;54.629;0.95%
01 de set. de 2014;54.116;-11.70%
01 de ago. de 2014;61.288;9.78%
01 de jul. de 2014;55.829;5.00%
01 de jun. de 2014;53.168;3.76%
01 de mai. de 2014;51.239;-0.75%
01 de abr. de 2014;51.627;2.40%
01 de mar. de 2014;50.415;7.05%
01 de fev. de 2014;47.094;-1.14%
01 de jan. de 2014;47.639;-7.51%
01 de dez. de 2013;51.507;-1.86%
01 de nov. de 2013;52.483;-3.27%
01 de out. de 2013;54.256;3.66%
01 de set. de 2013;52.338;4.65%
