Data;Ultimo;Var%
29.12.2022;12.76;-0.39%
28.12.2022;12.81;-1.84%
27.12.2022;13.05;0.85%
26.12.2022;12.94;-0.08%
23.12.2022;12.95;-0.77%
22.12.2022;13.05;-0.61%
21.12.2022;13.13;-0.45%
20.12.2022;13.19;-1.93%
19.12.2022;13.45;-0.11%
16.12.2022;13.465;0.41%
15.12.2022;13.41;-2.05%
14.12.2022;13.69;3.63%
13.12.2022;13.21;-0.30%
12.12.2022;13.25;1.61%
09.12.2022;13.04;0.62%
08.12.2022;12.96;1.09%
07.12.2022;12.82;-0.93%
06.12.2022;12.94;0.94%
05.12.2022;12.82;1.99%
02.12.2022;12.57;-2.03%
01.12.2022;12.83;0.16%
30.11.2022;12.81;-2.44%
29.11.2022;13.13;-3.24%
28.11.2022;13.57;-0.66%
25.11.2022;13.66;1.26%
24.11.2022;13.49;-2.81%
23.11.2022;13.88;2.97%
22.11.2022;13.48;0.75%
21.11.2022;13.38;1.06%
18.11.2022;13.24;-0.11%
17.11.2022;13.255;0.57%
16.11.2022;13.18;0.23%
14.11.2022;13.15;-1.28%
11.11.2022;13.32;2.46%
10.11.2022;13;6.43%
09.11.2022;12.215;0.66%
08.11.2022;12.135;1.13%
07.11.2022;12;1.18%
04.11.2022;11.86;-0.34%
03.11.2022;11.9;0.93%
01.11.2022;11.79;-0.97%
31.10.2022;11.905;-1.00%
28.10.2022;12.025;0.00%
27.10.2022;12.025;-1.15%
26.10.2022;12.165;0.33%
25.10.2022;12.125;-0.04%
24.10.2022;12.13;1.59%
21.10.2022;11.94;-0.13%
20.10.2022;11.955;0.13%
19.10.2022;11.94;0.76%
18.10.2022;11.85;-0.50%
17.10.2022;11.91;-0.92%
14.10.2022;12.02;1.09%
13.10.2022;11.89;0.17%
11.10.2022;11.87;0.76%
10.10.2022;11.78;0.17%
07.10.2022;11.76;-0.38%
06.10.2022;11.805;0.25%
05.10.2022;11.775;0.77%
04.10.2022;11.685;-0.64%
03.10.2022;11.76;-2.00%
30.09.2022;12;-1.60%
29.09.2022;12.195;0.29%
28.09.2022;12.16;1.00%
27.09.2022;12.04;-0.25%
26.09.2022;12.07;2.81%
23.09.2022;11.74;1.12%
22.09.2022;11.61;-2.03%
21.09.2022;11.85;-1.04%
20.09.2022;11.975;0.08%
19.09.2022;11.965;-1.03%
16.09.2022;12.09;-0.12%
15.09.2022;12.105;0.46%
14.09.2022;12.05;0.58%
13.09.2022;11.98;2.39%
12.09.2022;11.7;0.43%
09.09.2022;11.65;-1.69%
08.09.2022;11.85;-1.17%
06.09.2022;11.99;0.67%
05.09.2022;11.91;-0.25%
02.09.2022;11.94;-1.57%
01.09.2022;12.13;-0.49%
31.08.2022;12.19;-1.18%
30.08.2022;12.335;0.82%
29.08.2022;12.235;-0.37%
